case_id,model,family,section,ground_truth,prediction,prediction_normalized,differentials,category,justification
19101.0,GPT-5.1,proprietary,Neuroradiology,Neuro-Behçet’s disease,Myelin oligodendrocyte glycoprotein antibody disease (MOGAD),myelin oligodendrocyte glycoprotein antibody disease mogad,"Multiple sclerosis, Neuro-Behçet’s disease, Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD), Myelin oligodendrocyte glycoprotein antibody disease (MOGAD), Neurosarcoidosis",c,"The prediction ""Myelin oligodendrocyte glycoprotein antibody disease (MOGAD)"" is a plausible differential diagnosis explicitly listed among the options, but the correct answer is ""Neuro-Behçet's disease."""
19110.0,GPT-5.1,proprietary,Others,Inflammatory myofibroblastic tumour,Multicystic lymphangioma,multicystic lymphangioma,"Ovarian epithelial cystadenoma, Ovarian epithelial cystadenocarcinoma, Hydrosalpinx, Inflammatory myofibroblastic tumour, Cystic mature teratoma, Retroperitoneal myxoid liposarcoma, Multicystic lymphangioma",c,"The prediction ""Multicystic lymphangioma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both conditions can present as cystic masses, making the model's reasoning clinically defensible but wrong."
19114.0,GPT-5.1,proprietary,Neuroradiology,Rosette-forming glioneuronal tumour (RGNT),Ependymoma,ependymoma,"Pilocytic astrocytoma, Ependymoma, Dysembryoplastic neuroepithelial tumour (DNET), Rosette-forming glioneuronal tumour (RGNT), Ganglioglioma, Medulloblastoma",c,"The prediction ""Ependymoma"" is a plausible differential diagnosis that was on the provided list, as ependymomas can form rosettes and occur in similar CNS locations as RGNT, but it is the wrong specific diagnosis."
19116.0,GPT-5.1,proprietary,Others,Mixed malignant ovarian germ cell tumour,Yolk sac tumour,yolk sac tumour,"Dysgerminoma, Yolk sac tumour, Juvenile granulosa cell tumour, Mixed malignant ovarian germ cell tumour, Sertoli–Leydig cell tumour, Immature teratoma",c,"The prediction ""Yolk sac tumour"" is a plausible differential diagnosis from the provided list, as yolk sac tumour is a type of ovarian germ cell tumour that could be a component of the correct answer (mixed malignant ovarian germ cell tumour), but it is the wrong specific diagnosis."
19138.0,GPT-5.1,proprietary,Musculoskeletal system,Chondroblastic osteosarcoma,Classical osteosarcoma,classical osteosarcoma,"Chondrosarcoma, Chondroblastoma, Chondroblastic osteosarcoma, Classical osteosarcoma",c,"The prediction ""Classical osteosarcoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was the more specific ""Chondroblastic osteosarcoma"" subtype; both are osteosarcomas, and the model's choice was clinically defensible but wrong."
19140.0,GPT-5.1,proprietary,Musculoskeletal system,Infection by Mycobacterium avium,Infection by Mycobacterium tuberculosis,infection by mycobacterium tuberculosis,"Infection by Mycobacterium avium, Infection by Mycobacterium tuberculosis, Pyogenic arthritis, Inflammatory arthritis",c,"The prediction ""Infection by Mycobacterium tuberculosis"" is a plausible differential diagnosis that was on the provided list, involving a closely related mycobacterial species, but is the wrong specific entity compared to the ground truth ""Infection by Mycobacterium avium."""
19144.0,GPT-5.1,proprietary,Musculoskeletal system,Intramuscular haemangioma,Atypical lipoma,atypical lipoma,"Soft tissue sarcoma, Intramuscular haemangioma, Atypical lipoma, Myositis ossificans, Elastofibroma",c,"The prediction ""Atypical lipoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Intramuscular haemangioma."""
19149.0,GPT-5.1,proprietary,Paediatric radiology,MASA syndrome,Tubulinopathy,tubulinopathy,"Rhombencephalosynapsis, MASA syndrome, Chiari type II malformation, Tubulinopathy, α-dystroglycanopathies (and Walker–Warburg syndrome), Acquired causes of congenital aqueductal stenosis",c,"The prediction ""Tubulinopathy"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer is ""MASA syndrome."""
19158.0,GPT-5.1,proprietary,Paediatric radiology,"Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)",Dysplastic cerebellar gangliocytoma,dysplastic cerebellar gangliocytoma,"Dysplastic cerebellar gangliocytoma, Pilocytic astrocytoma, Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion), Oligodendroglioma-like tumour",c,"The prediction ""Dysplastic cerebellar gangliocytoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer was ""Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)."""
19161.0,GPT-5.1,proprietary,Musculoskeletal system,Mycobacterium kansasii tenosynovitis,Tuberculous tenosynovitis,tuberculous tenosynovitis,"Rheumatoid arthritis, Juvenile idiopathic arthritis, Adult Still’s disease, Tuberculous tenosynovitis, Mycobacterium kansasii tenosynovitis, Atypical mycobacterial infection (Mycobacterium marinum), Bacterial tenosynovitis, Fungal infections",c,"The prediction ""Tuberculous tenosynovitis"" is a plausible differential diagnosis on the provided list, but the correct answer is ""Mycobacterium kansasii tenosynovitis,"" a distinct non-tuberculous mycobacterial species."
18819.0,GPT-5-mini,proprietary,Uroradiology & genital male imaging,Pure yolk sac tumour,Mixed germinal cell tumour,mixed germinal cell tumour,"Mixed germinal cell tumour, Pure yolk sac tumour, Seminoma, Choriocarcinoma, Teratoma, Lymphoma",c,"The prediction ""Mixed germinal cell tumour"" is a plausible differential diagnosis from the provided list, as both mixed germ cell tumour and pure yolk sac tumour are germ cell neoplasms, but the model selected the wrong specific entity."
18826.0,GPT-5-mini,proprietary,Neuroradiology,Tumefactive demyelination with open ring sign,Tumefactive demyelinating lesion,tumefactive demyelinating lesion,"Tumefactive demyelination with open ring sign, Tumefactive demyelinating lesion, CNS neoplasm, Brain metastasis, Brain abscess, Granulomatous disease, Vasculitis, Acute demyelinating encephalitis",c,"The prediction ""Tumefactive demyelinating lesion"" is a different entry on the provided differential list from the correct answer ""Tumefactive demyelination with open ring sign,"" which specifically identifies the characteristic open ring enhancement pattern; both are plausible but the model selected the wrong specific option."
18873.0,GPT-5-mini,proprietary,Musculoskeletal system,Achilles rupture with tennis leg,Achilles rupture,achilles rupture,"Achilles rupture, Tennis leg, Achilles rupture with tennis leg, Ruptured Baker’s cyst, Deep vein thrombosis",b,"The prediction ""Achilles rupture"" is a component of the correct combined diagnosis ""Achilles rupture with tennis leg"" and is in the same anatomical/disease family, but it is the wrong specific entity as it omits the concurrent tennis leg component."
18878.0,GPT-5-mini,proprietary,Paediatric radiology,Metastatic pro-B type acute lymphoblastic leukaemia,Lymphoma,lymphoma,"Metastatic pro-B type acute lymphoblastic leukaemia, Lymphoma, Primary visceral organ malignancies, Sarcoidosis",c,"The prediction ""Lymphoma"" is a plausible differential diagnosis that was explicitly on the provided list, but the correct answer was ""Metastatic pro-B type acute lymphoblastic leukaemia."""
18897.0,GPT-5-mini,proprietary,Musculoskeletal system,Central/low-grade osteosarcoma,Liposarcoma,liposarcoma,"Central/low-grade osteosarcoma, Giant cell tumour, Aneurysmal bone cyst, Metastasis, Liposarcoma, Fibrous dysplasia",c,"The prediction ""Liposarcoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the correct diagnosis was ""Central/low-grade osteosarcoma."""
18906.0,GPT-5-mini,proprietary,Neuroradiology,Calcified pseudoneoplasm of the neuraxis,Calcified cavernoma,calcified cavernoma,"Calcified meningioma, Calcified cavernoma, Calcified pseudoneoplasm of the neuraxis, Oligodendrogliomas, Choroid plexus papilloma",c,"The prediction ""Calcified cavernoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the correct answer is ""Calcified pseudoneoplasm of the neuraxis."""
18919.0,GPT-5-mini,proprietary,Abdominal imaging,Lymphoepithelial cysts of the pancreas,Mucinous cystic neoplasm,mucinous cystic neoplasm,"Intraductal papillary mucinous neoplasm, Mucinous cystic neoplasm, Lymphoepithelial cysts of the pancreas, Serous cystic neoplasm, Pancreatic pseudocyst, Epidermoid cyst",c,"The prediction ""Mucinous cystic neoplasm"" is a plausible differential diagnosis that was on the provided list, as both it and lymphoepithelial cysts are pancreatic cystic lesions that can appear similar on imaging, but it is the wrong specific diagnosis."
18925.0,GPT-5-mini,proprietary,Breast imaging,Myoid hamartoma of the breast (MHB),Phyllodes tumour,phyllodes tumour,"Fibroadenoma, Galactocele, Phyllodes tumour, Leiomyosarcoma, Adenomyoepithelioma, Myoid hamartoma of the breast (MHB), Breast carcinoma",c,"The prediction ""Phyllodes tumour"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the ground truth is ""Myoid hamartoma of the breast (MHB)."""
18935.0,GPT-5-mini,proprietary,Neuroradiology,Intracranial tuberculoma,High-grade glioma,high-grade glioma,"High-grade glioma, Solitary brain metastasis, Intracranial tuberculoma, Infective aetiology (tuberculous/fungal)",c,"The prediction ""High-grade glioma"" is a plausible differential diagnosis that was on the provided list, but the correct diagnosis was ""Intracranial tuberculoma."""
18954.0,GPT-5-mini,proprietary,Musculoskeletal system,Telangiectatic osteosarcoma,Aneurysmal bone cyst,aneurysmal bone cyst,"Telangiectatic osteosarcoma, Aneurysmal bone cyst, Giant cell tumour",c,"The prediction ""Aneurysmal bone cyst"" is a plausible differential diagnosis that was on the provided list, as telangiectatic osteosarcoma and aneurysmal bone cyst can appear very similar radiologically and histologically, making this a clinically defensible but incorrect choice."
18967.0,GPT-5-mini,proprietary,Musculoskeletal system,Solitary bone plasmacytoma,Lymphoma,lymphoma,"Osteolytic metastasis, Pott’s disease, Solitary bone plasmacytoma, Lymphoma, Chronic osteomyelitis, Primary sarcoma",c,"The prediction ""Lymphoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Solitary bone plasmacytoma."""
18993.0,GPT-5-mini,proprietary,Abdominal imaging,Primary hepatic adenosarcoma,Hepatic cholangiocarcinoma,hepatic cholangiocarcinoma,"Hepatic cholangiocarcinoma, Primary hepatic adenosarcoma, Undifferentiated carcinoma (also known as sarcomatoid carcinoma), Hepatic fibroadenoma",c,"The prediction ""Hepatic cholangiocarcinoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the ground truth is ""Primary hepatic adenosarcoma."""
19002.0,GPT-5-mini,proprietary,Paediatric radiology,Retroperitoneal ganglioneuroblastoma-intermixed,Ganglioneuroma,ganglioneuroma,"Ganglioneuroma, Neuroblastoma, Retroperitoneal ganglioneuroblastoma-intermixed, Peripheral nerve sheath tumour, Paraganglioma",c,"The model selected ""Ganglioneuroma"" from the differential list, which is a plausible but incorrect diagnosis—both ganglioneuroma and ganglioneuroblastoma-intermixed are neuroblastic tumors on a maturation spectrum, but they are distinct entities with different clinical implications."
19015.0,GPT-5-mini,proprietary,Chest imaging,Pulmonary amyloidosis,Malignant neoplasia,malignant neoplasia,"Malignant neoplasia, Metastatic, Rheumatoid nodules, Pulmonary amyloidosis, Fungal lesions, Lymphomas",c,"The prediction ""Malignant neoplasia"" is a plausible differential diagnosis that was on the provided list, but the correct diagnosis was ""Pulmonary amyloidosis."""
19024.0,GPT-5-mini,proprietary,Chest imaging,Usual interstitial pneumonia secondary to connective tissue disorder,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,usual interstitial pneumonia due to idiopathic pulmonary fibrosis,"Usual interstitial pneumonia due to idiopathic pulmonary fibrosis, Usual interstitial pneumonia secondary to connective tissue disorder, Non-specific interstitial pneumonia, Lymphoid interstitial pneumonia",c,"The prediction ""Usual interstitial pneumonia due to idiopathic pulmonary fibrosis"" is a plausible differential diagnosis on the provided list that shares the same UIP pattern but attributes it to the wrong underlying etiology (idiopathic pulmonary fibrosis instead of connective tissue disorder)."
19038.0,GPT-5-mini,proprietary,Cardiovascular,Saw-tooth cardiomyopathy,Left ventricular noncompaction,left ventricular noncompaction,"Left ventricular noncompaction, Saw-tooth cardiomyopathy, Hypertrophic cardiomyopathy, Arrhythmogenic cardiomyopathy",c,"The prediction ""Left ventricular noncompaction"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Saw-tooth cardiomyopathy,"" making this a clinically defensible but incorrect choice."
19044.0,GPT-5-mini,proprietary,Neuroradiology,Chorea-acanthocytosis,Huntington’s disease,huntingtons disease,"Chorea-acanthocytosis, Huntington’s disease, Neuroacanthocytosis syndrome",c,"The prediction ""Huntington's disease"" is a plausible differential diagnosis that was on the provided list, sharing overlapping choreiform features with chorea-acanthocytosis, but is the wrong specific diagnosis."
19058.0,GPT-5-mini,proprietary,Abdominal imaging,Intraductal papillary neoplasm of the bile duct with low-grade dysplasia,Cholangiocarcinoma,cholangiocarcinoma,"Intraductal papillary neoplasm of the bile duct, Intraductal papillary neoplasm of the bile duct with low-grade dysplasia, Cholangiocarcinoma, Intraductal biliary metastasis",c,"The model selected ""Cholangiocarcinoma,"" which was on the provided differential diagnosis list and is a plausible but incorrect diagnosis, as the actual answer was a precursor lesion (intraductal papillary neoplasm with low-grade dysplasia) rather than frank malignancy."
19067.0,GPT-5-mini,proprietary,Paediatric radiology,Cystic pulmonary tuberculosis,Langerhans cell histiocytosis,langerhans cell histiocytosis,"Pneumocystis jirovecii pneumonia, Lymphoid interstitial pneumonia, Langerhans cell histiocytosis, Cystic pulmonary tuberculosis, Lymphangioleiomyomatosis, Birt–Hogg–Dubé syndrome",c,"The prediction ""Langerhans cell histiocytosis"" is a plausible differential diagnosis that was on the provided list and can present with cystic lung disease, but it is incorrect as the ground truth is ""Cystic pulmonary tuberculosis."""
19070.0,GPT-5-mini,proprietary,Musculoskeletal system,Clear cell soft tissue sarcoma with melanocytic differentiation,Clear cell sarcoma,clear cell sarcoma,"Clear cell sarcoma, Malignant melanoma, Clear cell soft tissue sarcoma with melanocytic differentiation, Pigment villonodular synovitis with malignant transformation, Synovial sarcoma, Alveolar soft part sarcoma, Malignant peripheral nerve sheath tumour",a,"The prediction ""Clear cell sarcoma"" is a synonym/abbreviated name for ""Clear cell soft tissue sarcoma with melanocytic differentiation,"" as clear cell sarcoma of soft tissue is defined by its melanocytic differentiation, making these clinically the same entity despite the difference in wording."
19086.0,GPT-5-mini,proprietary,Abdominal imaging,Oesophageal-vulvar syndrome,Benign mesenchymal tumour,benign mesenchymal tumour,"Lymphoma, Sarcoma, Benign mesenchymal tumour, Oesophageal-vulvar syndrome",c,"The prediction ""Benign mesenchymal tumour"" is a plausible differential diagnosis that was on the provided list, but is incorrect as the ground truth is ""Oesophageal-vulvar syndrome."""
19101.0,GPT-5-mini,proprietary,Neuroradiology,Neuro-Behçet’s disease,Myelin oligodendrocyte glycoprotein antibody disease (MOGAD),myelin oligodendrocyte glycoprotein antibody disease mogad,"Multiple sclerosis, Neuro-Behçet’s disease, Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD), Myelin oligodendrocyte glycoprotein antibody disease (MOGAD), Neurosarcoidosis",c,"The prediction ""Myelin oligodendrocyte glycoprotein antibody disease (MOGAD)"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Neuro-Behçet's disease,"" making this a clinically defensible but incorrect choice among the listed differentials."
19110.0,GPT-5-mini,proprietary,Others,Inflammatory myofibroblastic tumour,Multicystic lymphangioma,multicystic lymphangioma,"Ovarian epithelial cystadenoma, Ovarian epithelial cystadenocarcinoma, Hydrosalpinx, Inflammatory myofibroblastic tumour, Cystic mature teratoma, Retroperitoneal myxoid liposarcoma, Multicystic lymphangioma",c,"The prediction ""Multicystic lymphangioma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both conditions can present as cystic masses, making the model's reasoning clinically defensible but wrong."
19114.0,GPT-5-mini,proprietary,Neuroradiology,Rosette-forming glioneuronal tumour (RGNT),Ependymoma,ependymoma,"Pilocytic astrocytoma, Ependymoma, Dysembryoplastic neuroepithelial tumour (DNET), Rosette-forming glioneuronal tumour (RGNT), Ganglioglioma, Medulloblastoma",c,"The prediction ""Ependymoma"" is a plausible differential diagnosis that was on the provided list, as ependymomas can form rosettes and occur in similar CNS locations as RGNT, but it is the wrong specific diagnosis."
19116.0,GPT-5-mini,proprietary,Others,Mixed malignant ovarian germ cell tumour,Dysgerminoma,dysgerminoma,"Dysgerminoma, Yolk sac tumour, Juvenile granulosa cell tumour, Mixed malignant ovarian germ cell tumour, Sertoli–Leydig cell tumour, Immature teratoma",c,"The prediction ""Dysgerminoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Mixed malignant ovarian germ cell tumour,"" which may contain dysgerminoma as a component but represents a distinct diagnostic entity."
19119.0,GPT-5-mini,proprietary,Paediatric radiology,B-cell acute lymphoblastic lymphoma (small round blue cell tumour),Ewing sarcoma (or other small round blue cell tumour),ewing sarcoma or other small round blue cell tumour,"Osteomyelitis, Osteosarcoma, B-cell acute lymphoblastic lymphoma (small round blue cell tumour), Ewing sarcoma (or other small round blue cell tumour), Langerhans cell histiocytosis, Occult fracture in the early stage",c,"The prediction ""Ewing sarcoma (or other small round blue cell tumour)"" is a plausible differential diagnosis from the provided list, as both it and the ground truth are small round blue cell tumours presenting in bone, but the model selected the wrong specific entity."
19138.0,GPT-5-mini,proprietary,Musculoskeletal system,Chondroblastic osteosarcoma,Classical osteosarcoma,classical osteosarcoma,"Chondrosarcoma, Chondroblastoma, Chondroblastic osteosarcoma, Classical osteosarcoma",c,"The prediction ""Classical osteosarcoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was the more specific ""Chondroblastic osteosarcoma"" subtype; both are osteosarcomas, and the model's choice was clinically defensible but wrong."
19140.0,GPT-5-mini,proprietary,Musculoskeletal system,Infection by Mycobacterium avium,Infection by Mycobacterium tuberculosis,infection by mycobacterium tuberculosis,"Infection by Mycobacterium avium, Infection by Mycobacterium tuberculosis, Pyogenic arthritis, Inflammatory arthritis",c,"The prediction ""Infection by Mycobacterium tuberculosis"" is a plausible differential diagnosis that was on the provided list, involving a closely related mycobacterial species, but is the wrong specific entity compared to the ground truth ""Infection by Mycobacterium avium."""
19141.0,GPT-5-mini,proprietary,Neuroradiology,Anaplastic meningioma (WHO Grade III),Haemorrhagic meningioma,haemorrhagic meningioma,"Subacute subdural haematoma, Dural metastasis, Haemorrhagic meningioma, Anaplastic meningioma (WHO Grade III), Lymphoma involving the dura, Infective pachymeningitis",c,"The prediction ""Haemorrhagic meningioma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both are meningioma subtypes, yet the model selected the wrong specific entity from the available options."
19149.0,GPT-5-mini,proprietary,Paediatric radiology,MASA syndrome,Tubulinopathy,tubulinopathy,"Rhombencephalosynapsis, MASA syndrome, Chiari type II malformation, Tubulinopathy, α-dystroglycanopathies (and Walker–Warburg syndrome), Acquired causes of congenital aqueductal stenosis",c,"The prediction ""Tubulinopathy"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer is ""MASA syndrome."""
19158.0,GPT-5-mini,proprietary,Paediatric radiology,"Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)",Dysplastic cerebellar gangliocytoma,dysplastic cerebellar gangliocytoma,"Dysplastic cerebellar gangliocytoma, Pilocytic astrocytoma, Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion), Oligodendroglioma-like tumour",c,"The prediction ""Dysplastic cerebellar gangliocytoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer was ""Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)."""
19161.0,GPT-5-mini,proprietary,Musculoskeletal system,Mycobacterium kansasii tenosynovitis,Tuberculous tenosynovitis,tuberculous tenosynovitis,"Rheumatoid arthritis, Juvenile idiopathic arthritis, Adult Still’s disease, Tuberculous tenosynovitis, Mycobacterium kansasii tenosynovitis, Atypical mycobacterial infection (Mycobacterium marinum), Bacterial tenosynovitis, Fungal infections",c,"The prediction ""Tuberculous tenosynovitis"" is a plausible differential diagnosis on the provided list, but the correct answer is ""Mycobacterium kansasii tenosynovitis,"" a distinct non-tuberculous mycobacterial species."
18826.0,Gemini 3.1 Pro,proprietary,Neuroradiology,Tumefactive demyelination with open ring sign,Tumefactive demyelinating lesion,tumefactive demyelinating lesion,"Tumefactive demyelination with open ring sign, Tumefactive demyelinating lesion, CNS neoplasm, Brain metastasis, Brain abscess, Granulomatous disease, Vasculitis, Acute demyelinating encephalitis",c,"The prediction ""Tumefactive demyelinating lesion"" is a different entry on the provided differential list from the correct answer ""Tumefactive demyelination with open ring sign,"" making it a plausible but incorrect differential diagnosis that lacks the specific radiological qualifier (open ring sign)."
18855.0,Gemini 3.1 Pro,proprietary,Cardiovascular,Malignant mitral valve prolapse with subendocardial late enhancement,Mitral valve prolapse related replacement fibrosis,mitral valve prolapse related replacement fibrosis,"Myocardial replacement fibrosis secondary to Ischemia in LCx territory, Malignant mitral valve prolapse with subendocardial late enhancement, Mitral valve prolapse related replacement fibrosis, Replacement fibrosis related to sarcoidosis, Not specific replacement fibrosis, Hypertrophic cardiomyopathy",c,"The prediction ""Mitral valve prolapse related replacement fibrosis"" is a plausible differential diagnosis that was on the provided list, closely related to the ground truth ""Malignant mitral valve prolapse with subendocardial late enhancement,"" but is the wrong specific entity as it lacks the malignant designation and subendocardial late enhancement specification."
18897.0,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Central/low-grade osteosarcoma,Liposarcoma,liposarcoma,"Central/low-grade osteosarcoma, Giant cell tumour, Aneurysmal bone cyst, Metastasis, Liposarcoma, Fibrous dysplasia",c,"The prediction ""Liposarcoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect compared to the ground truth ""Central/low-grade osteosarcoma."""
18935.0,Gemini 3.1 Pro,proprietary,Neuroradiology,Intracranial tuberculoma,High-grade glioma,high-grade glioma,"High-grade glioma, Solitary brain metastasis, Intracranial tuberculoma, Infective aetiology (tuberculous/fungal)",c,"The prediction ""High-grade glioma"" is a plausible differential diagnosis that was on the provided list, but the correct diagnosis was ""Intracranial tuberculoma."""
18967.0,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Solitary bone plasmacytoma,Lymphoma,lymphoma,"Osteolytic metastasis, Pott’s disease, Solitary bone plasmacytoma, Lymphoma, Chronic osteomyelitis, Primary sarcoma",c,"The prediction ""Lymphoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Solitary bone plasmacytoma."""
