Model,Admin,Notes,Eurorad (EM),#,Opthalmology (EM),#,NMED Diagnosis (MAE),#,NMED Treatment (MAE),#,,,,,,,,,,,,,,,,,,,
"Qwen3.5 27B , thinking ",Omar,84.38% (±0.74),84.5411,1.0,0.761538,1.0,0.400347,,0.569916,1.0,,,,,,,,,,,,,,,,,,,
"Qwen3.5 27B , thinking ",Omar,,83.5749,1.0,0.761538,1.0,0.401042,,0.569916,1.0,,,,,,,,,,,,,,,,,,,
"Qwen3.5 27B , thinking ",Omar,85.02% (± 0),85.0242,,0.746154,1.0,0.412847,,0.576639,1.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qwen3.5 35B, no thinking",Omar,,,,,,,,"60.521%, 58.504%
",,,,,,,,,,,,,,,,,,,,
"Qwen3.5 35B, thinking ",Omar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qwen3.5 122B, no thinking",Omar,85.02% (± 0),85.0242,3.0,,3.0,0.468403,,,,,,,,,,,,,,,,,,,,,,
"Qwen3.5 122B, thinking ",Omar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (base + low reasoning, 5 beams) ",Alhusain,Better than GPT5 AND DeepSeek,Omar,-,0.6538,1.0,0.6287666667,3.0,0.6646333333,3.0,,,,,,,,,,,,,,,,,,,
"oss-20b (base + low reasoning, 9 beams) ",Alhusain,,Omar,-,0.6615,1.0,0.6591666667,3.0,0.6780333333,3.0,,,,,,,,,,,,,,,,,,,
"oss-20b (base + low reasoning, 11 beams) ",Alhusain,"Better than GPT5, ~DeepSeek",Omar,-,0.6769,1.0,0.6930333333,3.0,0.5977333333,3.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINE-TUNE BASELINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (fine-tuned, no beams)",Omar,"Omar's reasoning / Default Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",0.8325,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (fine-tuned, 5 beams)",Alhusain,"Omar's reasoning / Default Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",0.8502,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (fine-tuned, 9 beams)",Alhusain,"Omar's reasoning / Default Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",0.8535,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (fine-tuned, 13 beams) ^*^",Alhusain,"Omar's reasoning / Default Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",0.8615,3.0,"~GPT5, Better than DeepSeek",,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (fine-tuned, offline deepconf)",Alhusain,,0.8155,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (fine-tuned, online deepconf)",Alhusain,,0.8067,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (base, online deepconf)",Alhusain,,0.7894,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (base, offline deepconf)",Alhusain,,0.7971,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (finetuned with gpt-oss 120b reasoning) ^*^,Omar,"120b reasoning / r32, a64, lr 1e-4 / MoE, Linear",0.84,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINE-TUNE PROTOCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use OpenAI Guide as Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thinking Machines: LoRA Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HuggingFace TRL Re-Implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (reasoning from oss-120b w/ omar prompt, systematic elimination) / https://huggingface.co/datasets/alif-munim/eurorad-omar-120b",Omar,"Default Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",,#,please remember to specify # of runs (recommended 3x),,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (reasoning from oss-120b w/ omar prompt, systematic elimination) / https://huggingface.co/datasets/alif-munim/eurorad-omar-120b",Omar,"Alhusain Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",,#,please remember to specify # of runs (recommended 3x),,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (reasoning from oss-120b w/ alhusain prompt, filter easy cases) / https://huggingface.co/datasets/alif-munim/eurorad-alhusain-120b",Alhusain,"Default Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",,#,please remember to specify # of runs (recommended 3x),,,,,,,,,,,,,,,,,,,,,,,,
"oss-20b (reasoning from oss-120b w/ alhusain prompt, filter easy cases) / https://huggingface.co/datasets/alif-munim/eurorad-alhusain-120b",Alhusain,"Alhusain Prompt / LR 1e-4
peft_config = LoraConfig(
    r=32,
    lora_alpha=64,
    target_modules=""all-linear"",
    target_parameters=[
        ""3.mlp.experts.gate_up_proj"",
        ""3.mlp.experts.down_proj"", 
        ""5.mlp.experts.gate_up_proj"",
        ""5.mlp.experts.down_proj"",
        ""7.mlp.experts.gate_up_proj"",
        ""7.mlp.experts.down_proj"",
        ""9.mlp.experts.gate_up_proj"",
        ""9.mlp.experts.down_proj"",
        ""11.mlp.experts.gate_up_proj"",
        ""11.mlp.experts.down_proj"",
        ""13.mlp.experts.gate_up_proj"",
        ""13.mlp.experts.down_proj"",
        ""15.mlp.experts.gate_up_proj"",
        ""15.mlp.experts.down_proj"",
        ""23.mlp.experts.gate_up_proj"",
        ""23.mlp.experts.down_proj"",
    ],
)",,#,please remember to specify # of runs (recommended 3x),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"The default system prompt is as follows: https://github.com/alif-munim/oss-benchmark/blob/main/benchmarks/eurorad/hf_bench.py#L24-L38
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"DEFAULT_SYSTEM = (
    ""You are a careful radiology diagnosis selector.\n""
    ""Given a case description and a finite list of candidate diagnoses, ""
    ""select the single most likely final diagnosis FROM THE LIST.\n""
    ""Response rules:\n""
    ""1) Output EXACTLY one option, copied VERBATIM from the list.\n""
    ""2) Output ONLY the diagnosis text. No explanation. No punctuation. No quotes.""
)

DEFAULT_USER_TEMPLATE = (
    ""Case ID: {case_id}\n\n""
    ""Case description:\n{case_text}\n\n""
    ""Candidate diagnoses (choose ONE):\n{options_block}\n\n""
    ""Return exactly one option from the list above, copied verbatim.""
)
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Add more MoE layers (keep scaling until MoE, agree on targets) / FT takes ~7hrs",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,update four tabs only with results we will use,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,update fine-tunes with alhusain's best results,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hide alif's results and update with best oss20b results,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,report best performances for fine-tunes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Use OpenAI Guide as Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
